, '姓名', '简介,,,,,,,,,,,,,,,,,
26', '刘永才', '刘永才（1942.12.21- ）,飞航技术专家,吉林省长春市人,籍贯河北省肃宁，飞航技术专家，中共党员，1966年1月毕业于中国人民解放军军事工程学院,现任中国航天科工集团公司科技委、中国航天科工飞航技术研究院科技委顾问，国家某重点型号系列技术顾问、院信息化顾问、国家重大科技工程专家组总体组组长,原总装科技委兼职委员，中国宇航学会无人飞行器分会高级顾问，中国数学会均匀设计分会名誉理事长、国内多所大学兼职教授、博士生导师,历任多个型号的副总设计师、总设计师、型号总指挥，院科技委副主任、集团公司科技委常委,,,,,,,,,,,
27', '卢秉恒', '卢秉恒（1945.02.05- ）,机械工程专家,安徽省亳州市人,1967年毕业于合肥工业大学机械制造工艺与设备专业，1986年获西安交通大学机械制造与自动化专业博士学位,现任西安交通大学机械工程学院院长、教授、博士生导师,兼任国务院学位委员会机械学科评议组召集人、国家自然科学基金咨询委员、中国机械工程学会副理事长，中国机械制造工艺协会副理事长等,,,,,,,,,,,,
28', '路甬祥', '路甬祥（1942.04.28- ）,生于浙江宁波，男，汉族，流体传动与控制专家,中共党员,1964年毕业于浙江大学,1979年作为洪堡学者赴德国研修，1981年获亚琛大学工程科学博士学位,回国后曾任浙江大学流体传动及控制研究所所长、中国科协副主席、浙江大学校长、中国科学院院长、中国机械学会理事长、国务院学位委员会副主任委员、发展中国家科学院副院长、国际科学委员会（IAC）共同主席，十届、十一届全国人大常委会副委员长,现任中国机械工程学会荣誉理事长、中国科学院学部主席团名誉主席、中国产学研合作促进会会长、国务院《中国制造2025》专家咨询委员会主任,,,,,,,,,,,
29', '马伟明', '马伟明（1960.04.06- ）,动力领域专家,江苏省扬中市人,中共党员,1996年博士毕业于清华大学电机专业,现任海军工程大学舰船综合电力技术国防科技重点实验室主任，教授、博士生导师，专业技术少将，专业技术一级,当选第十八届、十九届中央委员会候补委员，九届、十一届、十二届、十三届全国人大代表，中国科协全国委员会第八届常委、第九届副主席，国务院学位委员会第五届电气工程学科评议组成员、第六届和第七届学科评议组召集人,,,,,,,,,,,
30', '邱志明', '邱志明（1961.12.23- ）,舰载武器系统与运用工程知名专家，山东临沂市人,2005年毕业于北京理工大学，获工学博士学位,现任海军装备研究院某研究所所长、研究员,曾任中国科协全委会委员，国务院、中央军委军工产品定型专家委员会委员,,,,,,,,,,,,,
31', '孙聪', '孙聪（1962.02- ）,飞行器设计领域专家，辽宁沈阳人,1983年毕业于北京航空学院，2006年获北京航空航天大学工学博士学位,曾先后担任航空工业沈阳飞机设计研究所总设计师、所长，中国航空工业集团公司副总工程师，现任中国航空工业集团公司科技委副主任,第十一、十二届全国政协委员,,,,,,,,,,,,,
32', '孙逢春', '孙逢春（1958.06.06- ）,车辆电动化专家，湖南省常德市临澧县人,1981年毕业于湖南大学应用力学专业,1989年毕业于北京理工大学，获工学博士学位,现任电动车辆国家工程实验室主任，中国汽车工程学会副理事长，中国电工技术学会副理事长,科技部新能源汽车重点专项专家组专家,曾任北京理工大学副校长,,,,,,,,,,,
33', '谭建荣', '谭建荣（1954.10.10- ）,机械工程专家,浙江湖州人,1987年毕业于华中科技大学获工学硕士学位， 1992年毕业于浙江大学获理学博士学位,浙江大学求是特聘教授、博士生导师，担任浙江大学机械工程学系主任、浙江大学工程与计算机图形学研究所所长，浙江大学流体动力与机电系统国家重点实验室学术委员会副主任、浙江大学CAD&CG国家重点实验室学术委员会委员，中国机械工程学会副理事长、中国图学学会副理事长、教育部工程图学教学指导委员会主任,,,,,,,,,,,,,
34', '唐长红', '唐长红（1959.01.06- ）,飞行器设计专家,陕西省蓝田人,1982年毕业于西北工业大学空气动力学专业,1989年获北京航空航天大学固体力学硕士学位,现任中航工业第一飞机设计研究院总设计师,,,,,,,,,,,,
35', '田红旗(女)', '田红旗（1959.12.11- ）,轨道交通工程技术专家,河南省鲁山县人,1981年12月毕业于长沙铁道学院，1999年获中国空气动力研究与发展中心博士学位,现任中南大学教授、副校长,第十一届、十二届全国政协委员,,,,,,,,,,,,
